1.0e-02  1.4401e-01    1.2618e-01  
1.0e-02  1.4889e-01    1.3057e-01  
1.1e-02  1.5392e-01    1.3509e-01  
1.1e-02  1.5909e-01    1.3975e-01  
1.2e-02  1.6442e-01    1.4455e-01  
1.3e-02  1.6990e-01    1.4950e-01  
1.3e-02  1.7554e-01    1.5459e-01  
1.4e-02  1.8134e-01    1.5983e-01  
1.4e-02  1.8731e-01    1.6522e-01  
1.5e-02  1.9344e-01    1.7077e-01  
1.6e-02  1.9974e-01    1.7647e-01  
1.6e-02  2.0620e-01    1.8233e-01  
1.7e-02  2.1284e-01    1.8835e-01  
1.8e-02  2.1965e-01    1.9453e-01  
1.9e-02  2.2664e-01    2.0088e-01  
2.0e-02  2.3380e-01    2.0739e-01  
2.1e-02  2.4113e-01    2.1406e-01  
2.2e-02  2.4865e-01    2.2089e-01  
2.3e-02  2.5633e-01    2.2789e-01  
2.4e-02  2.6420e-01    2.3506e-01  
2.5e-02  2.7223e-01    2.4239e-01  
2.6e-02  2.8044e-01    2.4988e-01  
2.7e-02  2.8882e-01    2.5753e-01  
2.8e-02  2.9737e-01    2.6534e-01  
3.0e-02  3.0608e-01    2.7331e-01  
3.1e-02  3.1496e-01    2.8142e-01  
3.3e-02  3.2398e-01    2.8968e-01  
3.4e-02  3.3316e-01    2.9809e-01  
3.6e-02  3.4248e-01    3.0663e-01  
3.7e-02  3.5194e-01    3.1529e-01  
3.9e-02  3.6152e-01    3.2408e-01  
4.1e-02  3.7122e-01    3.3298e-01  
4.3e-02  3.8103e-01    3.4198e-01  
4.5e-02  3.9093e-01    3.5107e-01  
4.7e-02  4.0090e-01    3.6023e-01  
4.9e-02  4.1095e-01    3.6947e-01  
5.1e-02  4.2105e-01    3.7874e-01  
5.4e-02  4.3117e-01    3.8805e-01  
5.6e-02  4.4132e-01    3.9738e-01  
5.9e-02  4.5144e-01    4.0669e-01  
6.2e-02  4.6154e-01    4.1598e-01  
6.4e-02  4.7158e-01    4.2521e-01  
6.7e-02  4.8154e-01    4.3437e-01  
7.1e-02  4.9139e-01    4.4343e-01  
7.4e-02  5.0108e-01    4.5235e-01  
7.7e-02  5.1061e-01    4.6110e-01  
8.1e-02  5.1992e-01    4.6966e-01  
8.5e-02  5.2899e-01    4.7799e-01  
8.9e-02  5.3776e-01    4.8605e-01  
9.3e-02  5.4621e-01    4.9379e-01  
9.7e-02  5.5428e-01    5.0119e-01  
1.0e-01  5.6192e-01    5.0819e-01  
1.1e-01  5.6910e-01    5.1475e-01  
1.1e-01  5.7576e-01    5.2082e-01  
1.2e-01  5.8184e-01    5.2636e-01  
1.2e-01  5.8729e-01    5.3130e-01  
1.3e-01  5.9205e-01    5.3561e-01  
1.3e-01  5.9607e-01    5.3922e-01  
1.4e-01  5.9928e-01    5.4207e-01  
1.5e-01  6.0163e-01    5.4412e-01  
1.5e-01  6.0306e-01    5.4531e-01  
1.6e-01  6.0349e-01    5.4558e-01  
1.7e-01  6.0288e-01    5.4487e-01  
1.8e-01  6.0116e-01    5.4314e-01  
1.8e-01  5.9827e-01    5.4032e-01  
1.9e-01  5.9416e-01    5.3636e-01  
2.0e-01  5.8877e-01    5.3123e-01  
2.1e-01  5.8205e-01    5.2486e-01  
2.2e-01  5.7396e-01    5.1724e-01  
2.3e-01  5.6446e-01    5.0832e-01  
2.4e-01  5.5351e-01    4.9807e-01  
2.5e-01  5.4110e-01    4.8649e-01  
2.6e-01  5.2721e-01    4.7356e-01  
2.8e-01  5.1183e-01    4.5928e-01  
2.9e-01  4.9499e-01    4.4368e-01  
3.0e-01  4.7671e-01    4.2677e-01  
3.2e-01  4.5702e-01    4.0861e-01  
3.3e-01  4.3599e-01    3.8926e-01  
3.5e-01  4.1370e-01    3.6880e-01  
3.6e-01  3.9024e-01    3.4731e-01  
3.8e-01  3.6575e-01    3.2494e-01  
4.0e-01  3.4037e-01    3.0181e-01  
4.2e-01  3.1426e-01    2.7808e-01  
4.3e-01  2.8763e-01    2.5395e-01  
4.6e-01  2.6070e-01    2.2961e-01  
4.8e-01  2.3370e-01    2.0529e-01  
5.0e-01  2.0692e-01    1.8125e-01  
5.2e-01  1.8063e-01    1.5773e-01  
5.5e-01  1.5513e-01    1.3501e-01  
5.7e-01  1.3074e-01    1.1336e-01  
6.0e-01  1.0777e-01    9.3066e-02  
6.3e-01  8.6533e-02    7.4388e-02  
6.5e-01  6.7304e-02    5.7568e-02  
6.9e-01  5.0339e-02    4.2816e-02  
7.2e-01  3.5841e-02    3.0290e-02  
7.5e-01  2.3938e-02    2.0082e-02  
7.9e-01  1.4668e-02    1.2199e-02  
8.2e-01  7.9514e-03    6.5439e-03  
8.6e-01  3.5725e-03    2.9014e-03  
9.0e-01  1.1601e-03    9.2539e-04  


1.0e-02  1.4401e-01    1.2819e-01  
1.0e-02  1.4889e-01    1.3255e-01  
1.1e-02  1.5392e-01    1.3703e-01  
1.1e-02  1.5909e-01    1.4165e-01  
1.2e-02  1.6442e-01    1.4641e-01  
1.3e-02  1.6990e-01    1.5130e-01  
1.3e-02  1.7554e-01    1.5633e-01  
1.4e-02  1.8134e-01    1.6151e-01  
1.4e-02  1.8731e-01    1.6683e-01  
1.5e-02  1.9344e-01    1.7229e-01  
1.6e-02  1.9974e-01    1.7790e-01  
1.6e-02  2.0620e-01    1.8366e-01  
